HomeTeam,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FTR,FTG
MU,1,0,1,8,13,6,4,11,8,2,5,2,1,0,0,1,3
BOU,1,0,1,12,10,4,1,11,9,7,4,1,1,0,0,1,2
FUL,0,1,-1,15,10,6,9,9,11,5,5,1,2,0,0,-1,2
HUD,0,2,-1,6,13,1,4,9,8,2,5,2,1,0,0,-1,3
NEW,1,2,-1,15,15,2,5,11,12,3,5,2,2,0,0,-1,3
WAT,1,0,1,19,6,5,0,10,16,8,2,2,2,0,0,1,2
WOL,1,1,0,11,6,4,5,8,7,3,6,0,1,0,1,0,4
ARS,0,1,-1,9,17,3,8,11,14,2,9,2,2,0,0,-1,2
LIV,2,0,1,18,5,8,2,14,9,5,4,1,2,0,0,1,4
SOU,0,0,0,18,16,3,6,10,9,8,5,0,1,0,0,0,0
CAR,0,0,0,12,12,1,6,14,16,5,5,2,2,0,1,0,0
CHE,2,2,0,24,15,11,6,12,9,5,1,0,2,0,0,1,5
EVE,2,0,1,13,15,7,4,8,20,2,5,0,5,0,0,1,3
LEI,2,0,1,6,11,2,3,10,8,1,9,2,1,1,0,1,2
TOT,1,0,1,25,10,11,3,9,5,5,2,0,0,0,0,1,4
WHM,1,0,1,11,12,5,5,14,10,6,4,6,2,0,0,-1,3
BRI,3,1,1,6,9,3,3,16,13,3,5,1,1,0,0,1,5
BUR,1,1,0,8,9,3,6,8,19,5,2,1,2,0,0,-1,4
MC,3,1,1,32,5,14,1,9,4,10,3,0,2,0,0,1,7
CRY,0,1,-1,8,16,2,6,6,13,6,7,1,1,1,0,-1,2
ARS,1,1,0,17,13,10,5,16,13,10,2,1,3,0,0,1,4
BOU,0,0,0,17,11,5,3,12,10,6,2,0,3,1,1,0,4
HUD,0,0,0,5,14,1,4,8,10,7,7,0,1,1,0,0,0
LIV,1,0,1,22,6,8,2,8,14,8,5,1,1,0,0,1,1
SOU,0,0,0,11,8,5,5,13,11,10,3,1,1,1,0,-1,3
WOL,0,0,0,11,18,2,6,13,8,5,9,1,2,0,0,0,2
FUL,3,2,1,25,12,12,2,11,8,6,4,2,1,0,0,1,6
NEW,0,0,0,6,15,2,3,16,8,4,5,3,1,0,0,-1,3
WAT,0,0,0,13,9,5,3,14,11,6,3,4,2,0,0,1,3
MU,0,0,0,23,9,5,5,11,16,5,2,2,4,0,0,-1,3
BRI,0,1,-1,15,10,5,5,12,14,7,1,3,3,0,0,0,4
CHE,0,0,0,24,8,6,1,10,7,7,6,2,2,0,0,1,2
CRY,0,0,0,20,19,6,6,11,12,7,4,1,1,0,0,-1,2
EVE,1,1,0,11,9,1,6,13,14,4,3,3,3,0,0,0,2
LEI,0,2,-1,12,10,5,4,9,12,4,4,3,2,0,0,-1,3
MC,1,1,0,24,3,8,2,5,13,4,0,0,0,0,0,1,3
WHM,0,0,0,13,15,3,6,10,11,4,4,2,1,0,0,-1,1
BUR,0,2,-1,9,21,2,9,7,13,2,5,2,3,0,1,-1,2
CAR,1,1,0,14,17,3,11,12,14,3,9,3,4,0,0,-1,5
WAT,0,0,0,7,11,3,2,9,8,3,10,2,1,0,0,1,3
BOU,3,0,1,10,14,5,8,13,15,4,6,3,2,0,1,1,6
CHE,2,1,1,18,6,7,2,8,10,5,4,0,0,0,0,1,5
HUD,0,1,-1,15,7,2,2,11,17,5,3,1,2,0,0,-1,1
MC,2,0,1,28,9,9,3,7,7,10,4,0,0,0,0,1,3
NEW,0,0,0,4,12,2,2,13,11,10,4,0,0,0,0,-1,3
TOT,0,1,-1,11,17,3,10,17,16,5,4,0,0,0,0,-1,3
WAT,0,2,-1,14,9,5,6,9,11,6,8,2,1,0,1,-1,3
EVE,1,2,-1,16,9,4,4,15,12,4,2,2,5,0,0,-1,4
WOL,0,0,0,30,7,7,2,10,9,8,2,2,4,0,0,1,1
SOU,1,0,1,14,12,5,4,10,13,1,4,2,3,0,0,0,4
BRI,0,1,-1,8,16,4,7,15,9,5,7,2,1,0,0,-1,3
BUR,2,0,1,12,19,5,5,17,6,3,8,2,0,0,0,1,4
CAR,0,3,-1,2,21,2,10,6,4,1,9,1,1,0,0,-1,5
CRY,0,0,0,16,6,4,3,8,11,9,5,1,1,0,0,0,0
FUL,0,1,-1,15,11,3,6,11,9,8,8,2,1,0,0,0,2
LEI,1,1,0,18,9,8,2,10,16,3,1,2,1,0,0,1,4
LIV,3,0,1,12,7,4,1,7,10,5,4,0,2,0,0,1,3
MU,1,0,1,15,11,6,8,5,17,5,4,1,1,0,0,0,2
ARS,0,0,0,9,9,5,6,17,12,5,9,2,1,0,0,1,2
WHM,0,0,0,6,17,1,6,11,9,1,8,2,1,0,0,0,0
ARS,0,0,0,9,13,2,4,11,17,6,6,2,2,0,0,1,2
CHE,1,0,1,10,13,4,6,7,9,4,4,0,2,0,0,0,2
EVE,0,0,0,19,6,6,0,13,13,12,1,0,3,0,0,1,3
HUD,0,2,-1,9,10,5,6,17,16,3,0,2,2,0,0,-1,2
MC,1,0,1,28,4,8,1,4,10,10,3,0,3,0,0,1,2
NEW,0,1,-1,6,12,1,5,11,5,5,9,0,0,0,0,-1,2
WHM,2,0,1,8,9,3,4,12,12,4,9,0,1,0,0,1,4
WOL,0,0,0,14,17,6,6,11,7,8,6,3,1,0,0,1,2
CAR,0,0,0,19,3,5,2,11,15,10,2,1,3,0,0,-1,3
BOU,1,0,1,11,10,5,2,9,12,3,3,3,4,0,0,1,3
BRI,1,0,1,9,17,4,4,12,8,2,9,3,2,0,0,1,1
BUR,1,0,1,6,19,3,2,8,11,1,10,2,2,0,0,0,2
CRY,0,0,0,11,7,4,2,11,13,6,3,3,4,0,0,-1,1
LEI,1,1,0,8,17,2,8,10,11,2,10,2,1,1,0,-1,3
MU,0,2,-1,18,13,10,8,16,8,10,6,2,2,0,0,1,5
TOT,1,0,1,19,8,7,6,7,11,6,2,2,1,0,1,1,1
WAT,0,3,-1,14,10,2,7,11,9,10,7,3,1,1,0,-1,4
FUL,1,1,0,21,9,4,7,11,12,4,2,2,0,0,0,-1,6
LIV,0,0,0,7,6,2,2,10,10,2,6,1,3,0,0,0,0
SOU,0,1,-1,15,21,6,6,13,11,4,12,6,0,0,0,-1,3
BOU,0,0,0,10,8,2,4,10,14,6,4,1,2,0,0,0,0
CAR,2,2,0,22,9,5,4,15,16,4,4,3,3,0,0,1,6
CHE,1,0,1,21,7,6,4,9,17,5,3,2,5,0,0,0,4
HUD,0,1,-1,13,11,1,2,9,6,2,4,0,2,0,0,-1,1
MC,1,0,1,24,5,10,0,11,5,10,1,2,2,0,0,1,5
NEW,0,1,-1,27,8,6,2,13,17,10,2,0,2,0,0,-1,1
WHM,0,1,-1,13,10,4,2,8,10,10,6,3,0,0,0,-1,1
WOL,0,2,-1,10,9,1,3,23,13,8,2,3,1,0,0,-1,2
EVE,0,0,0,20,7,4,3,13,17,10,5,2,1,0,0,1,2
ARS,1,1,0,19,8,6,2,10,10,6,4,2,2,0,0,1,4
BRI,0,0,0,2,25,1,7,11,8,1,10,3,0,0,0,1,1
FUL,0,1,-1,11,12,1,5,16,3,5,5,2,1,1,0,-1,3
LEI,0,1,-1,21,11,7,3,17,5,8,0,1,1,0,1,0,2
LIV,1,0,1,19,2,7,1,6,4,8,0,0,0,0,0,1,5
SOU,0,0,0,22,6,4,0,9,12,7,2,0,1,0,0,0,0
WAT,2,0,1,12,13,6,7,9,13,3,3,1,2,0,0,1,3
BUR,0,1,-1,7,24,1,8,14,10,4,4,4,2,0,0,-1,4
CRY,1,0,1,16,7,3,2,10,16,6,4,1,2,0,0,0,4
MU,1,0,1,14,14,10,6,15,12,8,4,2,1,0,0,1,3
TOT,0,1,-1,4,13,1,6,13,13,3,6,2,2,0,0,-1,1
ARS,0,0,0,12,13,4,4,7,7,5,8,1,1,0,0,0,2
BOU,1,1,0,18,18,7,8,12,12,9,5,4,3,0,0,-1,3
CAR,0,0,0,11,13,2,5,13,12,6,12,2,2,0,0,-1,1
EVE,1,1,0,14,5,3,3,9,17,6,4,0,1,0,0,1,4
NEW,0,0,0,10,16,2,1,12,11,8,9,1,5,0,0,1,1
WHM,1,1,0,22,6,10,3,7,9,10,4,1,4,0,0,1,6
WOL,0,2,-1,16,10,7,8,11,8,5,1,1,2,0,0,-1,5
CHE,1,0,1,15,7,6,2,6,13,4,2,0,1,0,0,1,4
MC,4,1,1,18,12,8,6,14,9,4,4,1,1,0,0,1,7
HUD,1,0,1,10,7,2,1,11,8,5,4,1,2,0,0,1,1
CAR,1,1,0,20,7,6,3,7,21,4,1,2,1,0,1,1,3
CRY,0,0,0,11,11,4,2,12,9,10,6,1,1,0,0,-1,1
HUD,1,0,1,15,12,7,5,9,8,5,6,1,1,0,0,0,2
LEI,0,0,0,22,6,5,1,13,10,12,1,2,0,0,0,0,0
NEW,2,1,1,18,14,6,4,9,11,7,10,2,1,0,0,1,3
SOU,1,0,1,14,12,4,6,13,13,7,6,3,2,0,0,0,2
ARS,0,1,-1,10,12,3,5,9,16,11,2,2,2,0,0,0,2
CHE,0,0,0,15,6,4,1,7,11,5,5,4,3,0,0,0,0
LIV,1,0,1,20,8,7,3,11,9,6,3,1,1,0,0,1,2
MC,1,0,1,17,6,5,1,12,12,5,1,1,1,0,0,1,4
BRI,1,0,1,14,8,3,3,10,7,6,1,3,1,0,1,0,2
EVE,0,0,0,16,7,8,1,12,13,7,3,0,3,0,0,1,1
FUL,2,1,1,10,19,5,8,10,6,2,5,2,3,0,0,1,5
MU,0,0,0,12,13,5,2,13,12,10,3,1,2,0,0,0,0
TOT,2,0,1,18,13,9,2,19,12,4,4,0,3,0,0,1,4
WAT,0,0,0,5,10,1,7,12,13,5,5,0,0,0,1,-1,3
WHM,0,3,-1,9,9,1,6,6,3,8,1,0,0,0,0,-1,4
BOU,1,1,0,11,20,5,4,6,9,5,8,2,1,0,0,-1,3
WOL,0,1,-1,12,14,3,6,9,8,3,5,1,2,0,0,-1,2
BUR,1,2,-1,14,17,4,3,6,11,5,5,0,1,0,0,-1,3
CAR,0,1,-1,17,15,3,4,3,12,7,6,1,2,0,0,1,3
CRY,1,0,1,29,4,9,0,9,10,10,2,1,1,0,0,1,2
HUD,1,1,0,7,14,2,6,10,12,2,6,0,2,1,0,-1,3
LEI,2,0,1,7,8,3,0,7,6,4,8,2,1,0,1,1,2
MC,1,1,0,16,4,6,1,9,3,8,4,0,0,0,0,1,4
NEW,0,1,-1,16,7,4,4,10,10,7,3,3,3,0,0,-1,3
SOU,2,2,0,16,11,6,5,12,13,3,5,4,4,0,0,0,4
ARS,1,2,-1,22,11,7,6,15,17,8,5,3,3,0,1,1,6
CHE,1,0,1,16,9,9,4,8,17,4,6,2,1,0,0,1,2
LIV,0,0,0,16,9,3,3,12,7,8,1,3,2,0,0,1,1
BOU,2,1,1,6,23,2,6,14,11,4,8,4,2,0,0,1,3
BRI,3,0,1,9,18,3,5,14,12,4,5,2,3,1,0,1,4
WAT,0,1,-1,11,15,7,7,4,8,3,11,0,1,0,0,-1,3
WHM,0,0,0,17,9,11,5,10,10,10,4,1,2,0,0,1,4
BUR,0,0,0,10,18,6,12,10,3,5,9,1,0,0,0,-1,4
EVE,1,1,0,19,8,3,5,7,18,14,2,0,5,0,0,0,2
FUL,1,0,1,25,13,7,5,12,7,10,8,0,0,0,0,0,2
MU,1,1,0,10,9,7,4,13,10,4,4,3,3,0,0,0,4
TOT,1,0,1,13,18,8,5,7,5,8,6,0,0,0,0,1,4
WOL,0,1,-1,6,17,2,3,18,10,1,5,4,4,0,0,1,3
ARS,0,0,0,14,6,2,0,13,20,7,1,5,4,0,0,1,1
BOU,0,1,-1,8,10,2,4,9,11,6,6,2,1,0,0,-1,4
BUR,1,0,1,14,14,4,1,11,11,2,7,2,0,0,0,1,1
CAR,0,0,0,13,12,4,1,9,10,7,7,2,2,0,0,1,1
CHE,1,0,1,8,14,5,4,12,11,1,13,2,0,0,0,1,2
LEI,0,1,-1,11,7,3,2,12,7,6,5,3,1,0,0,-1,2
MU,3,0,1,20,10,11,4,11,15,10,3,1,1,0,1,1,5
WHM,0,1,-1,13,8,6,4,10,8,5,3,1,2,0,0,1,5
NEW,1,1,0,12,13,4,6,10,17,4,6,2,5,1,0,-1,3
EVE,1,0,1,12,15,5,3,13,13,6,6,1,1,0,0,0,4
CRY,1,0,1,8,12,1,2,10,8,4,4,2,1,0,0,1,1
FUL,0,2,-1,16,6,4,3,14,10,6,4,2,1,0,0,-1,2
HUD,0,0,0,15,8,5,5,5,13,10,1,1,1,0,0,-1,1
MC,1,0,1,13,9,5,2,7,9,6,2,1,2,0,0,1,4
TOT,0,0,0,15,4,3,0,7,8,8,3,0,2,0,0,1,1
WAT,1,0,1,17,10,8,3,7,5,5,0,0,0,0,0,1,5
WOL,1,0,1,9,13,3,3,15,7,5,3,1,2,0,0,1,2
BRI,0,2,-1,6,10,2,3,14,6,4,1,2,2,0,0,-1,3
LIV,1,1,0,36,6,11,2,6,14,13,2,0,2,0,0,1,4
SOU,2,1,1,12,13,7,4,12,10,4,5,3,1,0,0,1,5
WOL,0,1,-1,11,15,5,6,7,3,1,10,0,0,0,0,-1,2
ARS,1,0,1,10,7,6,2,10,14,1,3,2,5,0,0,1,4
BOU,1,0,1,14,10,3,5,8,18,6,5,2,0,0,1,1,2
CAR,1,3,-1,9,17,3,9,13,13,4,7,2,1,0,0,-1,6
CHE,0,0,0,17,8,5,3,10,9,9,5,0,2,0,0,-1,1
HUD,0,2,-1,16,13,5,6,12,9,8,2,2,3,0,0,-1,4
MC,1,2,-1,19,5,5,3,7,6,13,0,0,4,0,0,-1,5
NEW,0,0,0,9,4,0,2,9,12,6,0,1,2,0,0,0,0
WHM,0,1,-1,18,11,7,5,9,11,10,4,3,2,0,0,-1,2
EVE,1,3,-1,10,17,3,8,13,9,2,1,0,2,0,0,-1,8
BRI,1,1,0,12,7,3,4,10,4,4,9,2,1,0,0,0,2
BUR,1,3,-1,11,13,4,6,11,19,5,7,2,4,0,0,-1,6
CRY,0,0,0,31,9,5,4,9,11,12,1,0,3,0,0,0,0
FUL,0,0,0,11,14,9,5,9,6,2,0,2,1,0,0,0,2
LEI,1,1,0,10,11,5,4,5,8,3,7,2,2,0,1,1,3
LIV,1,0,1,16,6,8,2,7,9,10,2,0,0,0,0,1,4
MU,1,0,1,16,10,10,2,9,13,5,3,1,1,0,0,1,4
TOT,3,0,1,10,14,7,4,4,8,3,4,2,1,0,0,1,5
