HomeTeam,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FTR,FTG
WAT,1,1,0,10,10,2,4,15,5,3,4,1,0,0,0,-1,3
SOU,0,0,0,11,16,5,5,10,3,4,5,2,0,0,0,-1,3
BRI,0,0,0,11,13,3,4,10,11,6,6,0,2,0,0,1,1
FUL,0,0,0,14,9,5,5,12,10,4,3,3,1,0,0,1,1
LEI,0,0,0,16,12,7,3,14,16,10,4,0,2,0,0,-1,1
LIV,4,1,1,15,8,10,2,8,13,5,3,1,2,0,0,1,6
TOT,1,0,1,10,11,3,4,7,7,6,7,3,2,0,0,-1,4
WAT,0,1,-1,12,8,5,2,17,16,3,6,1,2,0,0,0,2
BUR,2,0,1,17,11,5,4,15,11,5,5,1,4,0,0,1,2
CRY,0,0,0,4,12,0,4,11,8,3,4,0,1,0,0,-1,1
MU,3,1,1,11,7,8,3,10,7,4,5,2,0,1,0,1,5
SOU,1,3,-1,5,14,4,6,11,10,3,8,2,3,1,0,-1,4
ARS,1,0,1,16,9,9,4,7,12,8,3,0,1,0,0,1,5
CAR,0,3,-1,6,13,3,4,6,6,5,3,1,0,0,0,-1,3
EVE,0,0,0,17,8,2,4,5,8,6,5,3,1,0,0,-1,1
BOU,3,3,0,25,11,12,3,9,15,4,2,1,4,0,0,0,6
CHE,0,0,0,17,6,6,2,8,11,7,2,1,2,0,0,0,0
HUD,1,1,0,9,16,2,8,11,9,5,2,0,4,1,1,-1,3
NEW,0,0,0,14,16,3,7,10,9,1,2,1,2,0,0,-1,2
WHM,0,0,0,13,13,6,6,9,11,1,5,0,1,0,0,0,4
WOL,0,0,0,9,17,1,4,9,7,3,10,4,1,0,0,-1,2
MC,1,0,1,9,7,4,5,12,7,2,1,4,2,0,0,1,3
BRI,0,0,0,7,10,0,3,15,5,2,7,0,0,0,0,-1,1
BUR,2,1,1,11,12,0,4,5,9,2,6,1,2,0,0,1,3
CAR,0,0,0,3,14,0,2,12,14,3,10,3,1,0,0,0,0
CHE,1,1,0,10,9,6,2,6,13,8,5,1,1,0,0,1,3
CRY,1,0,1,15,16,6,2,11,11,7,7,1,4,0,0,-1,3
LEI,0,2,-1,23,8,6,3,7,9,10,3,2,1,0,1,-1,3
WHM,0,0,0,11,11,3,2,7,10,7,3,0,2,0,0,1,1
EVE,0,0,0,15,16,3,7,17,8,5,9,5,0,0,0,1,2
TOT,0,1,-1,21,13,11,8,8,8,7,4,1,2,0,0,-1,1
MC,2,0,1,24,3,9,0,6,3,12,1,1,0,0,1,1,3
ARS,2,0,1,13,13,5,1,13,15,5,6,0,2,0,0,1,2
BOU,0,0,0,10,9,4,1,6,10,2,3,0,1,0,0,1,2
LIV,0,1,-1,19,9,9,3,6,8,8,3,0,1,1,0,1,7
MU,2,0,1,20,7,5,3,11,11,6,5,1,0,0,0,1,3
NEW,1,0,1,16,9,6,1,11,6,7,10,0,1,0,0,1,3
SOU,0,0,0,11,7,4,2,12,11,7,6,2,1,0,0,1,3
WAT,0,0,0,9,11,4,3,14,9,1,7,1,2,0,0,0,0
WOL,2,0,1,12,16,7,6,11,10,5,9,3,3,0,0,1,7
FUL,1,0,1,12,14,4,5,10,8,7,10,2,3,0,0,-1,3
HUD,0,1,-1,5,12,2,4,10,9,1,4,2,2,0,0,-1,3
ARS,0,0,0,15,19,4,2,14,12,4,7,3,3,0,0,1,3
FUL,0,2,-1,24,15,7,6,10,5,10,1,2,3,0,0,1,6
HUD,0,1,-1,10,10,2,5,13,10,3,4,1,4,0,1,-1,1
MU,0,0,0,28,6,9,4,10,9,11,3,1,3,0,0,0,4
NEW,0,1,-1,6,12,2,4,9,7,1,8,2,3,0,0,1,3
WOL,0,0,0,20,4,9,0,8,10,5,1,4,1,0,0,1,3
BOU,0,0,0,12,11,7,7,8,6,3,7,1,0,0,0,1,4
LIV,1,1,0,10,5,3,2,13,6,7,1,1,3,0,0,0,2
SOU,0,1,-1,13,15,4,3,11,8,3,8,2,2,0,1,0,2
TOT,0,1,-1,17,9,3,1,6,9,9,5,0,4,0,0,1,3
BRI,0,0,0,21,5,4,0,15,10,7,0,1,0,0,0,0,0
BUR,0,0,0,15,10,6,4,10,9,4,2,3,1,0,0,0,2
CAR,1,0,1,12,9,5,2,17,14,6,7,1,2,0,0,1,2
CHE,2,0,1,23,5,7,2,8,5,11,2,0,0,0,0,1,5
CRY,1,0,1,17,8,6,0,9,12,11,1,2,3,0,0,1,2
EVE,1,2,-1,13,8,4,4,12,14,3,1,3,1,0,0,-1,4
TOT,0,0,0,21,8,4,2,6,6,6,3,0,1,0,0,1,1
LEI,0,1,-1,17,10,6,6,14,9,7,2,4,4,0,0,-1,1
MC,2,1,1,19,4,12,2,11,8,4,2,1,1,0,0,1,4
WHM,1,1,0,13,11,2,6,9,11,2,5,1,1,0,0,0,2
EVE,0,1,-1,4,15,1,4,12,6,5,6,1,1,0,0,-1,2
BRI,0,1,-1,16,9,6,5,8,7,9,3,1,1,0,0,-1,4
CRY,0,1,-1,25,6,5,4,12,9,10,4,3,0,0,0,0,2
FUL,0,2,-1,15,15,3,7,14,9,5,4,3,2,0,0,-1,3
HUD,0,2,-1,15,9,6,4,17,12,5,0,3,2,0,0,-1,3
LIV,2,0,1,20,12,9,2,14,6,8,5,2,2,0,0,1,3
SOU,0,0,0,14,6,7,3,15,12,8,2,3,3,0,0,-1,3
WAT,0,0,0,7,9,2,4,21,10,8,2,2,0,0,1,1,1
MC,4,0,1,15,12,9,4,9,13,2,2,1,2,0,0,1,6
TOT,1,0,1,12,20,5,9,11,4,2,9,3,1,0,0,1,4
WOL,0,0,0,22,9,6,3,7,9,13,1,1,3,0,0,0,2
CAR,0,1,-1,15,12,6,7,10,11,3,3,1,2,0,0,-1,6
WHM,2,1,1,21,8,7,5,11,11,12,0,1,1,0,0,1,4
BOU,1,0,1,10,10,3,2,10,15,9,8,4,5,0,0,0,2
BUR,0,0,0,10,17,4,6,9,12,7,6,1,3,0,0,1,3
LEI,0,1,-1,27,7,5,5,7,14,8,3,2,1,0,0,-1,5
NEW,0,0,0,29,3,12,1,11,7,12,0,2,0,0,1,1,2
ARS,2,0,1,12,10,4,4,7,14,6,4,0,0,0,0,1,2
MU,0,0,0,6,7,3,1,15,17,3,7,1,3,0,0,0,0
CAR,0,1,-1,6,12,0,4,12,12,3,4,3,1,0,0,-1,3
HUD,0,0,0,15,7,3,0,10,10,3,5,2,2,0,0,1,1
LEI,1,0,1,19,15,3,3,6,4,4,8,1,1,0,0,1,3
NEW,2,0,1,12,12,3,2,8,8,4,7,1,3,0,0,1,2
ARS,2,1,1,16,13,6,5,11,9,9,4,2,2,0,0,1,6
CHE,0,0,0,11,9,1,0,7,14,2,2,1,1,0,0,1,2
CRY,0,1,-1,17,13,2,4,8,9,5,6,2,3,0,0,-1,4
LIV,2,0,1,19,5,10,3,5,7,6,4,0,2,0,0,1,5
MC,0,0,0,20,2,7,1,2,6,12,2,0,2,0,0,1,1
SOU,2,0,1,14,14,4,4,15,13,7,4,0,1,0,0,1,2
BOU,0,0,0,0,23,0,7,7,7,0,14,1,2,0,0,-1,1
BRI,0,0,0,13,6,4,4,11,6,6,3,2,2,0,0,1,1
BUR,0,1,-1,18,10,4,4,9,9,8,5,1,2,0,0,-1,4
MU,0,1,-1,16,6,6,3,7,10,9,7,2,1,0,0,1,5
TOT,0,1,-1,10,9,3,4,15,14,3,4,3,2,0,1,0,2
WHM,2,0,1,10,17,4,2,8,14,1,6,3,4,0,0,1,2
WOL,2,0,1,13,12,6,4,11,6,7,8,1,2,0,0,1,2
EVE,0,0,0,7,10,3,3,12,10,3,7,1,2,0,0,0,0
FUL,1,2,-1,12,20,5,7,11,10,5,4,2,1,0,0,-1,3
WAT,1,0,1,6,14,5,2,15,12,1,5,5,1,0,0,1,3
CAR,1,0,1,16,9,7,2,7,12,7,5,2,1,0,0,1,2
CRY,0,1,-1,15,4,3,3,8,18,8,0,1,5,0,0,-1,3
HUD,0,1,-1,8,8,1,5,14,9,6,5,3,1,0,0,-1,2
LEI,1,0,1,18,6,8,3,9,13,6,5,0,2,0,0,1,4
MC,0,0,0,19,2,9,1,11,7,9,1,1,1,0,0,1,4
NEW,0,2,-1,19,7,7,3,13,10,8,2,3,1,0,0,1,5
SOU,0,1,-1,12,16,4,5,16,9,1,10,4,2,0,0,1,3
ARS,1,0,1,14,14,3,4,12,18,5,2,2,2,0,0,1,2
CHE,0,0,0,22,2,6,1,8,14,13,0,1,4,0,0,0,2
LIV,2,1,1,23,3,5,2,4,7,7,3,2,0,0,0,1,6
BOU,0,1,-1,10,12,3,4,9,12,6,6,3,2,0,0,0,4
BUR,1,1,0,13,9,2,4,9,10,9,3,1,1,0,1,-1,3
WHM,1,2,-1,16,15,5,5,7,15,5,8,0,2,0,0,1,7
EVE,0,0,0,15,16,8,5,17,9,3,4,1,2,0,0,1,2
FUL,0,1,-1,7,16,2,6,11,7,1,10,2,1,0,0,-1,3
BRI,0,0,0,14,8,1,2,8,10,6,5,1,2,0,0,-1,1
BUR,1,0,1,5,8,1,1,12,10,1,5,1,1,0,0,1,2
CRY,0,0,0,19,15,5,5,10,7,5,5,0,0,0,0,1,2
FUL,0,2,-1,5,24,0,7,4,12,0,11,2,0,0,0,-1,2
LEI,1,0,1,18,8,4,2,6,12,6,1,0,2,0,0,1,2
MU,1,0,1,8,20,5,8,14,9,3,5,1,2,0,0,1,3
WHM,0,2,-1,3,17,1,9,7,14,4,9,1,1,0,0,-1,2
CAR,0,0,0,8,21,3,3,8,14,2,7,2,3,0,0,-1,3
LIV,1,0,1,14,11,3,2,5,8,10,3,0,1,0,0,1,3
ARS,1,0,1,7,3,4,1,11,10,6,2,2,0,0,0,1,2
WAT,1,1,0,15,17,7,7,12,5,6,4,3,2,0,0,1,5
WOL,1,1,0,9,18,2,4,5,11,3,5,1,2,0,1,1,3
CHE,1,0,1,17,3,4,1,5,9,7,1,0,0,0,0,1,3
MC,2,0,1,27,4,11,1,3,17,7,4,0,3,0,0,1,2
TOT,0,0,0,26,5,10,1,8,5,8,2,1,0,0,0,1,2
SOU,1,1,0,11,17,1,5,8,7,7,5,2,4,0,0,-1,4
BOU,1,2,-1,10,11,2,3,12,16,3,6,2,3,0,0,-1,4
HUD,0,1,-1,10,18,4,9,13,11,8,5,3,0,0,0,-1,5
NEW,0,0,0,18,3,5,1,12,13,9,4,1,2,0,0,-1,1
EVE,1,0,1,23,7,6,2,8,9,9,6,1,4,0,0,1,1
CHE,1,0,1,16,9,7,2,8,7,7,4,2,1,0,0,1,2
LEI,0,1,-1,12,11,5,5,6,10,2,3,2,3,0,0,-1,1
BRI,0,1,-1,8,14,1,7,10,6,4,1,2,4,1,0,-1,5
BUR,1,0,1,14,14,7,2,7,10,8,4,2,3,0,0,1,2
FUL,0,0,0,12,8,5,1,8,10,7,3,2,1,0,0,1,2
MU,1,0,1,14,18,4,4,14,5,3,11,1,1,0,0,1,3
SOU,2,1,1,13,17,6,2,13,8,4,9,1,3,0,0,1,4
TOT,2,0,1,22,7,5,1,10,12,4,2,2,2,0,0,1,4
CRY,0,1,-1,7,20,3,6,5,11,2,9,0,0,0,0,-1,4
LIV,0,0,0,15,6,7,3,5,9,9,2,0,1,0,0,1,2
WAT,0,1,-1,11,19,3,6,12,8,6,4,2,0,1,0,-1,1
BRI,0,1,-1,14,10,2,3,11,13,5,4,0,1,0,0,-1,2
BOU,0,0,0,15,17,5,5,11,18,3,7,1,3,0,0,-1,1
HUD,0,1,-1,13,11,3,6,15,9,2,2,2,2,0,0,-1,3
MC,1,0,1,15,10,4,4,11,11,4,4,1,2,0,0,1,1
NEW,2,0,1,15,15,6,3,5,11,4,11,0,2,0,0,1,4
WHM,1,0,1,11,11,3,5,8,9,6,8,2,0,0,0,0,4
WOL,0,0,0,22,5,5,0,0,8,14,1,0,1,0,0,0,0
ARS,0,1,-1,12,16,5,7,15,12,8,3,4,1,0,0,-1,5
CAR,0,0,0,7,17,2,6,6,5,5,10,1,1,0,0,-1,2
EVE,2,0,1,15,7,8,1,11,7,10,2,1,1,0,0,1,4
CHE,2,2,0,22,6,9,3,9,4,10,1,2,1,0,0,0,4
TOT,0,0,0,29,6,5,1,7,13,6,3,1,2,0,0,1,1
WAT,0,1,-1,15,8,4,4,10,14,3,4,5,2,0,0,0,2
MU,0,0,0,12,8,1,5,10,10,1,1,2,2,0,0,-1,2
WOL,3,0,1,11,11,3,1,12,9,5,5,2,3,0,0,1,4
LIV,3,0,1,21,5,7,1,5,14,4,4,0,0,0,0,1,5
BRI,0,1,-1,9,9,2,1,7,10,7,4,2,3,0,0,0,2
CRY,0,0,0,8,22,0,3,9,15,5,10,2,0,0,0,0,0
FUL,0,0,0,8,13,2,8,10,8,10,3,0,0,0,0,1,1
SOU,1,2,-1,22,9,7,5,8,9,9,3,2,1,0,0,0,6
TOT,0,0,0,14,16,4,7,3,8,2,7,0,2,0,0,-1,1
WAT,0,1,-1,10,11,1,4,10,11,4,5,3,2,0,0,-1,3
BUR,0,0,0,2,25,0,7,5,7,0,6,1,1,0,0,-1,1
LEI,0,0,0,24,6,12,1,13,13,8,6,3,1,0,1,1,3
MU,1,1,0,7,16,5,3,9,14,6,6,3,2,0,0,0,2
EVE,2,0,1,20,5,6,1,8,9,8,1,0,2,0,0,1,2
BOU,0,0,0,20,11,6,5,11,12,10,6,1,5,0,2,1,1
CAR,1,2,-1,18,21,8,7,14,11,10,5,0,0,0,0,-1,5
NEW,1,2,-1,14,11,7,4,10,4,2,3,1,1,0,0,-1,5
WHM,1,0,1,17,11,6,1,2,11,2,7,1,1,0,0,1,3
WOL,0,0,0,19,6,6,2,10,15,7,1,1,3,0,0,1,1
ARS,1,0,1,20,11,8,5,9,14,16,3,5,2,0,0,0,2
CHE,0,0,0,19,15,9,3,6,12,6,6,0,1,0,0,1,3
HUD,0,1,-1,7,23,3,7,10,10,3,7,1,1,0,0,0,2
MC,0,0,0,19,7,5,2,12,5,11,0,3,2,0,0,1,1
BRI,1,2,-1,6,20,2,9,12,8,2,6,0,0,0,0,-1,5
BUR,0,0,0,14,17,5,6,11,3,4,5,5,1,0,0,-1,4
CRY,3,1,1,17,16,8,8,11,8,4,4,3,0,0,0,1,8
FUL,0,2,-1,16,13,2,6,6,8,5,5,1,0,0,0,-1,4
LEI,0,0,0,9,14,3,4,9,8,4,5,0,1,0,0,0,0
LIV,1,0,1,13,7,5,2,3,11,4,1,0,2,0,0,1,2
MU,0,1,-1,26,13,10,4,9,6,11,2,3,3,0,0,-1,2
SOU,1,0,1,10,10,3,3,8,6,4,3,0,1,0,0,0,2
TOT,1,0,1,11,17,3,9,10,13,7,4,0,2,0,0,0,4
WAT,0,2,-1,17,16,8,9,10,10,7,2,1,0,1,0,-1,5
